[142.97989730476058, 118.15003652666968]
[139.53470831604804, 116.52596380543523]
[136.08951932733547, 114.90189108420077]
[132.6443303386229, 113.27781836296631]
[129.19914134991032, 111.65374564173186]
[125.75395236119775, 110.02967292049739]
[122.30876337248517, 108.40560019926293]
[118.8635743837726, 106.78152747802848]
[115.41838539506004, 105.15745475679402]
[111.97319640634747, 103.53338203555957]
[108.5280074176349, 101.90930931432511]
[108.5280074176349, 101.90930931432511]
[100.0, 100.0]
